"","weather","risk","treatment","outcome"
"2767","wet","low","untreated","not-burned"
"2768","normal","low","untreated","not-burned"
"2769","normal","low","untreated","not-burned"
"2770","wet","low","treated","not-burned"
"2771","wet","low","treated","not-burned"
"2772","normal","low","treated","not-burned"
"2773","normal","low","untreated","not-burned"
"2774","dry","high","treated","not-burned"
"2775","dry","high","treated","burned"
"2776","dry","high","treated","not-burned"
"2777","dry","low","untreated","burned"
"2778","wet","low","untreated","not-burned"
"2779","dry","high","untreated","burned"
"2780","dry","high","treated","not-burned"
"2781","dry","low","untreated","not-burned"
"2782","normal","low","untreated","not-burned"
"2783","wet","low","untreated","not-burned"
"2784","wet","low","untreated","not-burned"
"2785","wet","low","treated","not-burned"
"2786","dry","low","untreated","not-burned"
"2787","normal","low","treated","not-burned"
"2788","dry","high","treated","not-burned"
"2789","normal","low","treated","not-burned"
"2790","normal","low","treated","not-burned"
"2791","normal","high","untreated","not-burned"
"2792","wet","low","untreated","not-burned"
"2793","normal","high","treated","not-burned"
"2794","dry","low","treated","not-burned"
"2795","normal","low","untreated","not-burned"
"2796","normal","low","treated","not-burned"
"2797","normal","low","untreated","not-burned"
"2798","dry","high","treated","not-burned"
"2799","normal","high","treated","not-burned"
"2800","normal","low","treated","not-burned"
"2801","wet","low","untreated","not-burned"
"2802","normal","low","untreated","not-burned"
"2803","dry","high","treated","burned"
"2804","dry","low","treated","burned"
"2805","wet","low","untreated","not-burned"
"2806","dry","high","treated","not-burned"
"2807","dry","high","treated","not-burned"
"2808","dry","low","treated","not-burned"
"2809","normal","high","treated","not-burned"
"2810","wet","low","untreated","not-burned"
"2811","normal","low","treated","not-burned"
"2812","normal","low","untreated","not-burned"
"2813","dry","low","treated","burned"
"2814","wet","low","treated","not-burned"
"2815","normal","high","untreated","not-burned"
"2816","wet","low","treated","not-burned"
"2817","dry","low","treated","burned"
"2818","normal","high","untreated","not-burned"
"2819","wet","low","treated","not-burned"
"2820","wet","low","treated","not-burned"
"2821","wet","low","untreated","not-burned"
"2822","normal","low","treated","not-burned"
"2823","normal","low","untreated","not-burned"
"2824","wet","low","untreated","not-burned"
"2825","normal","low","untreated","not-burned"
"2826","normal","low","untreated","not-burned"
"2827","normal","low","untreated","not-burned"
"2828","wet","low","untreated","not-burned"
"2829","dry","low","treated","not-burned"
"2830","normal","high","treated","not-burned"
"2831","normal","low","treated","not-burned"
"2832","wet","low","treated","not-burned"
"2833","dry","high","treated","burned"
"2834","normal","low","treated","not-burned"
"2835","dry","low","untreated","burned"
"2836","wet","low","treated","not-burned"
"2837","normal","high","treated","not-burned"
"2838","normal","high","treated","not-burned"
"2839","normal","low","treated","not-burned"
"2840","normal","high","treated","not-burned"
"2841","normal","low","untreated","not-burned"
"2842","normal","low","untreated","not-burned"
"2843","wet","low","untreated","not-burned"
"2844","normal","high","treated","not-burned"
"2845","normal","low","treated","not-burned"
"2846","normal","high","treated","not-burned"
"2847","normal","low","untreated","not-burned"
"2848","wet","low","treated","not-burned"
"2849","wet","low","untreated","not-burned"
"2850","dry","high","treated","not-burned"
"2851","dry","low","untreated","not-burned"
"2852","normal","low","treated","not-burned"
"2853","dry","low","treated","not-burned"
"2854","wet","low","treated","not-burned"
"2855","normal","high","treated","not-burned"
"2856","normal","low","treated","not-burned"
"2857","normal","low","untreated","not-burned"
"2858","normal","low","untreated","not-burned"
"2859","normal","low","untreated","not-burned"
"2860","normal","low","treated","not-burned"
"2861","normal","low","treated","not-burned"
"2862","normal","low","treated","not-burned"
"2863","normal","high","untreated","not-burned"
"2864","wet","low","treated","not-burned"
"2865","wet","low","treated","not-burned"
"2866","dry","low","untreated","burned"
"2867","dry","low","untreated","burned"
"2868","dry","high","treated","burned"
"2869","wet","low","untreated","not-burned"
"2870","dry","high","treated","not-burned"
"2871","normal","low","untreated","not-burned"
"2872","dry","low","treated","not-burned"
"2873","wet","low","treated","not-burned"
"2874","normal","low","untreated","not-burned"
"2875","wet","low","untreated","not-burned"
"2876","normal","low","untreated","not-burned"
"2877","normal","low","untreated","not-burned"
"2878","normal","low","untreated","not-burned"
"2879","normal","low","treated","not-burned"
"2880","dry","high","treated","not-burned"
"2881","dry","low","treated","not-burned"
"2882","normal","high","treated","not-burned"
"2883","wet","low","untreated","not-burned"
"2884","normal","low","treated","not-burned"
"2885","normal","low","treated","not-burned"
"2886","wet","low","treated","not-burned"
"2887","wet","low","treated","not-burned"
"2888","wet","low","treated","not-burned"
"2889","normal","high","treated","not-burned"
"2890","normal","low","treated","not-burned"
"2891","wet","high","untreated","not-burned"
"2892","wet","low","untreated","not-burned"
"2893","normal","low","untreated","not-burned"
"2894","normal","high","treated","not-burned"
"2895","wet","high","treated","not-burned"
"2896","normal","high","treated","not-burned"
"2897","normal","low","untreated","not-burned"
"2898","normal","low","treated","not-burned"
"2899","wet","low","untreated","not-burned"
"2900","dry","low","untreated","not-burned"
"2901","normal","high","untreated","not-burned"
"2902","normal","high","treated","not-burned"
"2903","normal","high","treated","burned"
"2904","dry","low","untreated","burned"
"2905","normal","low","untreated","not-burned"
"2906","normal","low","treated","not-burned"
"2907","normal","high","treated","not-burned"
"2908","dry","low","untreated","burned"
"2909","normal","low","treated","not-burned"
"2910","normal","high","untreated","not-burned"
"2911","dry","high","treated","not-burned"
"2912","dry","low","untreated","burned"
"2913","dry","high","untreated","not-burned"
"2914","normal","low","treated","not-burned"
"2915","wet","low","untreated","not-burned"
"2916","dry","high","treated","not-burned"
"2917","wet","low","treated","not-burned"
"2918","normal","high","treated","not-burned"
"2919","dry","high","treated","not-burned"
"2920","normal","low","untreated","not-burned"
"2921","wet","low","treated","not-burned"
"2922","normal","low","treated","not-burned"
"2923","wet","low","treated","not-burned"
"2924","normal","low","untreated","not-burned"
"2925","normal","high","treated","not-burned"
"2926","dry","low","treated","burned"
"2927","dry","low","treated","not-burned"
"2928","normal","high","treated","not-burned"
"2929","wet","low","untreated","not-burned"
"2930","normal","low","untreated","not-burned"
"2931","wet","low","treated","not-burned"
"2932","normal","high","treated","not-burned"
"2933","dry","low","untreated","not-burned"
"2934","normal","low","untreated","not-burned"
"2935","normal","low","untreated","not-burned"
"2936","normal","low","treated","not-burned"
"2937","normal","low","treated","not-burned"
"2938","normal","low","untreated","not-burned"
"2939","dry","low","untreated","not-burned"
"2940","dry","low","untreated","burned"
"2941","normal","high","untreated","not-burned"
"2942","dry","high","treated","not-burned"
"2943","dry","low","untreated","not-burned"
"2944","dry","high","untreated","not-burned"
"2945","normal","low","treated","not-burned"
"2946","normal","low","treated","not-burned"
"2947","normal","low","untreated","not-burned"
"2948","normal","high","treated","not-burned"
"2949","normal","low","untreated","not-burned"
"2950","dry","high","treated","burned"
"2951","dry","high","treated","not-burned"
"2952","normal","low","treated","not-burned"
"2953","normal","low","untreated","not-burned"
"2954","normal","low","untreated","not-burned"
"2955","normal","low","treated","not-burned"
"2956","normal","low","untreated","not-burned"
"2957","dry","low","treated","burned"
"2958","normal","low","treated","not-burned"
"2959","wet","low","untreated","not-burned"
"2960","wet","low","untreated","not-burned"
"2961","normal","low","treated","not-burned"
"2962","dry","low","untreated","burned"
"2963","normal","low","treated","not-burned"
"2964","normal","low","treated","not-burned"
"2965","dry","high","treated","not-burned"
"2966","normal","high","treated","not-burned"
"2967","normal","low","untreated","not-burned"
"2968","wet","low","untreated","not-burned"
"2969","normal","low","untreated","not-burned"
"2970","normal","low","treated","not-burned"
"2971","normal","low","treated","not-burned"
"2972","dry","low","treated","not-burned"
"2973","normal","low","untreated","not-burned"
"2974","wet","low","treated","not-burned"
"2975","normal","low","treated","not-burned"
"2976","normal","high","treated","not-burned"
"2977","dry","high","treated","not-burned"
"2978","normal","high","treated","not-burned"
"2979","normal","low","untreated","not-burned"
"2980","normal","low","treated","not-burned"
"2981","wet","low","untreated","not-burned"
"2982","wet","high","treated","not-burned"
"2983","dry","low","untreated","not-burned"
"2984","normal","low","untreated","not-burned"
"2985","normal","low","untreated","not-burned"
"2986","normal","low","untreated","not-burned"
"2987","normal","low","untreated","not-burned"
"2988","wet","low","untreated","not-burned"
"2989","normal","high","treated","not-burned"
"2990","wet","low","untreated","not-burned"
"2991","dry","low","untreated","burned"
"2992","dry","low","untreated","not-burned"
"2993","normal","high","treated","not-burned"
"2994","wet","low","treated","not-burned"
"2995","dry","low","untreated","burned"
"2996","normal","low","treated","not-burned"
"2997","wet","high","treated","not-burned"
"2998","wet","low","untreated","not-burned"
"2999","normal","low","untreated","not-burned"
"3000","normal","low","treated","not-burned"
"3001","normal","low","treated","not-burned"
"3002","normal","low","treated","not-burned"
"3003","wet","high","treated","not-burned"
"3004","dry","low","untreated","burned"
"3005","wet","low","untreated","not-burned"
"3006","dry","low","treated","burned"
"3007","normal","low","treated","not-burned"
"3008","normal","high","untreated","not-burned"
"3009","wet","low","treated","not-burned"
"3010","normal","low","treated","not-burned"
"3011","wet","low","untreated","not-burned"
"3012","normal","low","treated","not-burned"
"3013","normal","high","untreated","not-burned"
"3014","normal","low","treated","not-burned"
"3015","normal","low","untreated","not-burned"
"3016","dry","high","treated","not-burned"
"3017","wet","low","treated","not-burned"
"3018","wet","low","treated","not-burned"
